Country,Region,Population,Area,Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP($/capita),Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,"0,00","23,06","163,07",700,46.6,20.34,0.38,0.24,0.38
Albania,EASTERN EUROPE,3581655,28748,"1,26","-4,93","21,52",4500,15.11,5.22,0.232,0.188,0.579
Algeria,NORTHERN AFRICA,32930091,2381740,"0,04","-0,39",31,6000,17.14,4.61,0.101,0.6,0.298
American Samoa,OCEANIA,57794,199,"58,29",,"9,27",8000,22.46,3.27,,,
Andorra,WESTERN EUROPE,71201,468,"0,00","6,6","4,05",19000,8.71,6.25,,,
Angola,SUB-SAHARAN AFRICA,12127071,1246700,"0,13",0,"191,19",1900,45.11,24.2,0.096,0.658,0.246
Anguilla,LATIN AMER. & CARIB,13477,102,"59,80","10,76","21,03",8600,14.17,5.34,0.04,0.18,0.78
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,"34,54","-6,15","19,46",11000,16.93,5.37,0.038,0.22,0.743
Argentina,LATIN AMER. & CARIB,39921833,2766890,"0,18","0,61","15,18",11200,16.73,7.55,0.095,0.358,0.547
Armenia,C.W. OF IND. STATES,2976372,29800,"0,00","-6,47","23,28",3500,12.07,8.23,0.239,0.343,0.418
Aruba,LATIN AMER. & CARIB,71891,193,"35,49",0,"5,89",28000,11.03,6.68,0.004,0.333,0.663
Australia,OCEANIA,20264082,7686850,"0,34","3,98","4,69",29000,12.14,7.51,0.038,0.262,0.7
Austria,WESTERN EUROPE,8192880,83870,"0,00",2,"4,66",30000,8.74,9.76,0.018,0.304,0.678
Azerbaijan,C.W. OF IND. STATES,7961619,86600,"0,00","-4,9","81,74",3400,20.74,9.75,0.141,0.457,0.402
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,"25,41","-2,2","25,21",16700,17.57,9.05,0.03,0.07,0.9
Bahrain,NEAR EAST,698585,665,"24,21","1,05","17,27",16900,17.8,4.14,0.005,0.387,0.608
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,"0,40","-0,71","62,6",1900,29.8,8.27,0.199,0.198,0.603
Barbados,LATIN AMER. & CARIB,279912,431,"22,51","-0,31","12,5",15700,12.71,8.67,0.06,0.16,0.78
